gFx,gFy,gFz
0.069,-0.178,-0.497
0.051,-0.202,-0.514
0.038,-0.223,-0.533
0.04,-0.245,-0.557
0.047,-0.265,-0.58
0.051,-0.28,-0.607
0.053,-0.289,-0.638
0.048,-0.289,-0.669
0.031,-0.284,-0.704
0.02,-0.284,-0.747
0.03,-0.29,-0.806
0.045,-0.283,-0.892
0.073,-0.253,-0.994
0.127,-0.231,-1.107
0.202,-0.211,-1.23
0.28,-0.172,-1.348
0.352,-0.117,-1.453
0.429,-0.08,-1.515
0.474,-0.096,-1.541
0.485,-0.132,-1.551
0.453,-0.171,-1.561
0.39,-0.201,-1.592
0.342,-0.213,-1.641
0.326,-0.209,-1.67
0.332,-0.184,-1.637
0.351,-0.154,-1.553
0.351,-0.122,-1.428
0.335,-0.102,-1.284
0.319,-0.114,-1.153
0.292,-0.143,-1.045
0.23,-0.169,-0.967
0.144,-0.194,-0.943
0.059,-0.226,-0.971
-0.015,-0.251,-1.03
-0.073,-0.246,-1.091
-0.104,-0.214,-1.126
-0.099,-0.169,-1.12
-0.06,-0.133,-1.076
0.004,-0.106,-1.004
0.062,-0.078,-0.916
0.119,-0.056,-0.814
0.176,-0.052,-0.709
0.209,-0.065,-0.623
0.256,-0.075,-0.553
0.279,-0.1,-0.505
0.289,-0.13,-0.477
0.291,-0.155,-0.467
0.265,-0.173,-0.465
0.236,-0.185,-0.465
0.208,-0.197,-0.469
0.178,-0.207,-0.481
0.162,-0.222,-0.501
0.166,-0.245,-0.534
0.173,-0.263,-0.574
0.18,-0.266,-0.619
0.183,-0.252,-0.657
0.178,-0.232,-0.688
0.176,-0.213,-0.712
0.176,-0.201,-0.734
0.185,-0.205,-0.761
0.207,-0.219,-0.794
0.232,-0.233,-0.825
0.261,-0.245,-0.84
0.297,-0.258,-0.854
0.317,-0.271,-0.878
0.309,-0.282,-0.934
0.286,-0.297,-1.052
0.267,-0.319,-1.242
0.243,-0.323,-1.463
0.212,-0.303,-1.651
0.188,-0.274,-1.759
0.182,-0.237,-1.77
0.199,-0.22,-1.701
0.225,-0.23,-1.595
0.246,-0.243,-1.502
0.266,-0.258,-1.457
0.283,-0.256,-1.444
0.298,-0.218,-1.415
0.302,-0.174,-1.338
0.297,-0.151,-1.217
0.291,-0.149,-1.072
0.278,-0.174,-0.931
0.274,-0.207,-0.818
0.282,-0.249,-0.76
0.28,-0.273,-0.767
0.268,-0.259,-0.824
0.261,-0.205,-0.917
0.271,-0.146,-1.01
0.286,-0.099,-1.095
0.291,-0.058,-1.163
0.282,-0.018,-1.206
0.262,0.019,-1.209
0.237,0.045,-1.17
0.215,0.057,-1.107
0.192,0.056,-1.043
0.163,0.055,-0.977
0.132,0.044,-0.904
0.105,0.022,-0.825
0.08,-0.001,-0.745
0.059,-0.021,-0.67
0.039,-0.038,-0.607
0.027,-0.06,-0.561
0.027,-0.089,-0.536
0.035,-0.11,-0.522
0.044,-0.118,-0.514
0.051,-0.123,-0.506
0.049,-0.134,-0.501
0.046,-0.149,-0.505
0.041,-0.161,-0.526
0.042,-0.175,-0.562
0.054,-0.192,-0.616
0.065,-0.194,-0.681
0.065,-0.174,-0.735
0.058,-0.136,-0.777
0.047,-0.086,-0.813
0.048,-0.045,-0.85
0.079,-0.028,-0.909
0.141,-0.029,-0.986
0.222,-0.036,-1.087
0.302,-0.049,-1.209
0.346,-0.064,-1.33
0.339,-0.076,-1.397
0.294,-0.098,-1.384
0.245,-0.146,-1.312
0.204,-0.238,-1.215
0.184,-0.339,-1.138
0.196,-0.409,-1.116
0.218,-0.442,-1.164
0.247,-0.416,-1.248
0.278,-0.329,-1.305
0.304,-0.235,-1.316
0.334,-0.16,-1.29
0.361,-0.106,-1.237
0.377,-0.081,-1.164
0.376,-0.09,-1.099
0.336,-0.143,-1.078
0.264,-0.19,-1.093
0.188,-0.226,-1.115
0.111,-0.245,-1.124
0.052,-0.254,-1.113
0.027,-0.268,-1.098
0.023,-0.276,-1.07
0.028,-0.263,-1.028
0.052,-0.238,-0.977
0.096,-0.216,-0.919
0.133,-0.195,-0.861
0.163,-0.175,-0.81
0.186,-0.159,-0.765
0.199,-0.149,-0.726
0.2,-0.146,-0.682
0.196,-0.148,-0.634
0.178,-0.157,-0.578
0.148,-0.166,-0.527
0.124,-0.173,-0.493
0.116,-0.192,-0.483
0.118,-0.209,-0.492
0.118,-0.206,-0.511
0.116,-0.188,-0.538
0.107,-0.174,-0.578
0.097,-0.167,-0.611
0.091,-0.155,-0.637
0.09,-0.141,-0.653
0.097,-0.127,-0.665
0.096,-0.114,-0.682
0.093,-0.113,-0.719
0.109,-0.127,-0.773
0.144,-0.156,-0.851
0.199,-0.188,-0.958
0.257,-0.2,-1.09
0.3,-0.179,-1.216
0.31,-0.118,-1.33
0.301,-0.047,-1.436
0.301,-0.006,-1.546
0.301,-0.01,-1.662
0.278,-0.044,-1.773
0.239,-0.077,-1.856
0.215,-0.107,-1.896
0.228,-0.138,-1.895
0.246,-0.148,-1.83
0.258,-0.133,-1.714
0.263,-0.11,-1.565
0.265,-0.1,-1.402
0.264,-0.102,-1.238
0.259,-0.114,-1.087
0.249,-0.125,-0.954
0.222,-0.142,-0.841
0.213,-0.151,-0.742
0.21,-0.174,-0.66
0.214,-0.206,-0.607
0.227,-0.231,-0.586
0.236,-0.249,-0.589
0.241,-0.243,-0.6
0.248,-0.195,-0.619
0.247,-0.14,-0.656
0.23,-0.093,-0.714
0.214,-0.054,-0.793
0.218,-0.024,-0.891
0.234,-0.001,-1.005
0.228,0.022,-1.126
0.193,0.045,-1.222
0.155,0.062,-1.255
0.131,0.067,-1.218
0.134,0.053,-1.126
0.161,0.023,-1.004
0.186,0.003,-0.894
0.2,-0.011,-0.798
0.202,-0.016,-0.717
0.203,-0.025,-0.66
0.201,-0.044,-0.627
0.189,-0.067,-0.607
0.163,-0.09,-0.6
0.137,-0.11,-0.594
0.11,-0.13,-0.585
0.074,-0.143,-0.589
0.05,-0.162,-0.62
0.049,-0.193,-0.676
0.059,-0.2,-0.748
0.068,-0.169,-0.809
0.076,-0.131,-0.843
0.087,-0.105,-0.864
0.099,-0.084,-0.89
0.111,-0.061,-0.934
0.122,-0.031,-1.008
0.148,0.001,-1.096
0.193,0.038,-1.17
0.246,0.053,-1.207
0.295,0.037,-1.202
0.334,-0.004,-1.159
0.351,-0.05,-1.096
0.327,-0.091,-1.028
0.282,-0.127,-0.979
0.249,-0.166,-1.016
0.24,-0.214,-1.163
0.265,-0.203,-1.355
0.316,-0.138,-1.55
0.375,-0.045,-1.704
0.425,0.053,-1.757
0.453,0.139,-1.707
0.457,0.205,-1.586
0.441,0.227,-1.428
0.404,0.208,-1.263
0.339,0.154,-1.117
0.241,0.081,-1.016
0.127,0.016,-0.964
0.008,-0.052,-0.952
-0.101,-0.111,-0.962
-0.174,-0.148,-0.978
-0.205,-0.15,-0.986
-0.201,-0.14,-0.97
-0.166,-0.128,-0.93
-0.111,-0.111,-0.872
-0.062,-0.095,-0.811
-0.025,-0.081,-0.757
0.009,-0.075,-0.716
0.042,-0.079,-0.691
0.072,-0.087,-0.678
0.096,-0.101,-0.678
0.11,-0.111,-0.68
0.108,-0.116,-0.681
0.095,-0.126,-0.685
0.09,-0.141,-0.698
0.078,-0.153,-0.718
0.054,-0.159,-0.748
0.04,-0.165,-0.8
0.03,-0.171,-0.869
0.018,-0.167,-0.94
0.002,-0.156,-1
-0.012,-0.137,-1.045
