gFx,gFy,gFz
0.23,-0.15,-1.259
0.22,-0.136,-1.29
0.2,-0.143,-1.298
0.182,-0.152,-1.284
0.165,-0.16,-1.266
0.149,-0.172,-1.266
0.133,-0.172,-1.274
0.11,-0.171,-1.281
0.095,-0.173,-1.284
0.076,-0.175,-1.282
0.047,-0.174,-1.284
0.02,-0.174,-1.286
-0.006,-0.176,-1.291
-0.021,-0.179,-1.294
-0.032,-0.179,-1.29
-0.037,-0.183,-1.278
-0.04,-0.193,-1.263
-0.052,-0.205,-1.246
-0.071,-0.213,-1.227
-0.089,-0.215,-1.207
-0.102,-0.216,-1.19
-0.108,-0.21,-1.181
-0.117,-0.203,-1.187
-0.128,-0.2,-1.202
-0.127,-0.2,-1.221
-0.115,-0.197,-1.242
-0.106,-0.192,-1.254
-0.1,-0.189,-1.253
-0.08,-0.187,-1.251
-0.062,-0.19,-1.255
-0.041,-0.188,-1.253
-0.02,-0.18,-1.25
-0.001,-0.176,-1.255
0.013,-0.165,-1.264
0.016,-0.149,-1.27
0.017,-0.136,-1.262
0.03,-0.128,-1.244
0.048,-0.118,-1.217
0.068,-0.114,-1.187
0.08,-0.112,-1.161
0.088,-0.113,-1.143
0.111,-0.114,-1.122
0.144,-0.117,-1.101
0.161,-0.118,-1.09
0.176,-0.112,-1.088
0.197,-0.119,-1.09
0.217,-0.118,-1.083
0.232,-0.115,-1.067
0.246,-0.114,-1.047
0.251,-0.113,-1.009
0.253,-0.119,-0.952
0.257,-0.127,-0.897
0.255,-0.138,-0.86
0.249,-0.153,-0.822
0.246,-0.162,-0.786
0.241,-0.172,-0.768
0.236,-0.184,-0.763
0.234,-0.198,-0.767
0.246,-0.216,-0.771
0.261,-0.225,-0.763
0.268,-0.227,-0.759
0.27,-0.23,-0.752
0.269,-0.233,-0.737
0.266,-0.237,-0.723
0.249,-0.242,-0.715
0.232,-0.246,-0.708
0.223,-0.249,-0.697
0.213,-0.247,-0.695
0.199,-0.247,-0.688
0.184,-0.245,-0.678
0.164,-0.242,-0.669
0.149,-0.236,-0.664
0.144,-0.233,-0.673
0.134,-0.233,-0.69
0.133,-0.231,-0.702
0.13,-0.224,-0.717
0.129,-0.221,-0.729
0.15,-0.202,-0.739
0.175,-0.18,-0.737
0.177,-0.187,-0.739
0.175,-0.197,-0.73
0.181,-0.184,-0.711
0.184,-0.171,-0.705
0.197,-0.16,-0.728
0.217,-0.159,-0.745
0.234,-0.162,-0.744
0.256,-0.159,-0.733
0.261,-0.163,-0.724
0.264,-0.171,-0.722
0.27,-0.171,-0.734
0.28,-0.184,-0.767
0.294,-0.2,-0.806
0.308,-0.21,-0.835
0.319,-0.223,-0.854
0.333,-0.233,-0.87
0.328,-0.244,-0.898
0.328,-0.254,-0.943
0.332,-0.248,-1.013
0.321,-0.235,-1.101
0.303,-0.216,-1.193
0.28,-0.195,-1.294
0.248,-0.179,-1.395
0.216,-0.18,-1.472
0.19,-0.179,-1.503
0.175,-0.187,-1.501
0.15,-0.201,-1.48
0.107,-0.208,-1.454
0.06,-0.211,-1.422
0.022,-0.216,-1.383
-0.003,-0.215,-1.339
-0.023,-0.217,-1.309
-0.035,-0.214,-1.288
-0.048,-0.208,-1.275
-0.072,-0.204,-1.271
-0.091,-0.193,-1.255
-0.115,-0.18,-1.231
-0.146,-0.171,-1.209
-0.158,-0.159,-1.187
-0.164,-0.145,-1.173
-0.171,-0.133,-1.181
-0.172,-0.118,-1.191
-0.174,-0.107,-1.2
-0.172,-0.102,-1.205
-0.157,-0.102,-1.212
-0.128,-0.11,-1.223
-0.088,-0.121,-1.236
-0.046,-0.133,-1.259
-0.023,-0.142,-1.284
-0.012,-0.158,-1.304
0.012,-0.179,-1.32
0.063,-0.19,-1.371
0.137,-0.185,-1.496
0.225,-0.167,-1.694
0.287,-0.141,-1.869
0.316,-0.116,-1.949
0.327,-0.099,-1.929
0.328,-0.07,-1.827
0.33,-0.05,-1.687
0.326,-0.058,-1.543
0.321,-0.068,-1.394
0.326,-0.078,-1.255
0.331,-0.097,-1.128
0.322,-0.108,-1.004
0.289,-0.114,-0.885
0.25,-0.122,-0.771
0.215,-0.13,-0.668
0.191,-0.159,-0.585
0.171,-0.192,-0.517
0.155,-0.207,-0.464
0.16,-0.213,-0.422
0.166,-0.227,-0.396
0.159,-0.229,-0.39
0.146,-0.232,-0.397
0.144,-0.227,-0.398
0.15,-0.222,-0.39
0.167,-0.218,-0.376
0.173,-0.215,-0.358
0.153,-0.212,-0.336
0.13,-0.204,-0.325
0.117,-0.19,-0.315
0.111,-0.174,-0.324
0.117,-0.162,-0.367
0.126,-0.152,-0.433
0.145,-0.139,-0.502
0.176,-0.131,-0.557
0.204,-0.128,-0.594
0.236,-0.128,-0.621
0.27,-0.13,-0.644
0.291,-0.136,-0.671
0.291,-0.134,-0.685
0.271,-0.134,-0.685
0.263,-0.148,-0.673
0.276,-0.157,-0.66
0.297,-0.156,-0.65
0.323,-0.171,-0.647
0.36,-0.18,-0.653
0.395,-0.175,-0.664
0.414,-0.17,-0.687
0.423,-0.172,-0.715
0.426,-0.165,-0.725
0.418,-0.163,-0.724
0.417,-0.169,-0.723
0.427,-0.165,-0.733
0.441,-0.15,-0.768
0.44,-0.134,-0.834
0.431,-0.117,-0.886
0.417,-0.088,-0.945
0.389,-0.07,-1.022
0.372,-0.051,-1.112
0.365,-0.021,-1.203
0.354,-0.008,-1.295
0.346,0.009,-1.374
0.32,0.03,-1.428
0.255,0.026,-1.462
0.2,0.025,-1.489
0.164,0.027,-1.496
0.133,0.021,-1.486
0.109,0.017,-1.481
0.074,0.008,-1.487
0.024,-0.006,-1.488
-0.021,-0.021,-1.468
-0.05,-0.033,-1.435
-0.075,-0.045,-1.415
-0.105,-0.059,-1.404
-0.13,-0.073,-1.391
-0.145,-0.083,-1.376
-0.154,-0.09,-1.368
-0.162,-0.103,-1.366
-0.153,-0.113,-1.337
-0.138,-0.117,-1.3
-0.129,-0.126,-1.28
-0.125,-0.126,-1.26
-0.128,-0.123,-1.238
-0.125,-0.117,-1.224
-0.12,-0.102,-1.218
-0.112,-0.091,-1.221
-0.098,-0.074,-1.223
-0.079,-0.07,-1.211
-0.051,-0.068,-1.192
-0.027,-0.076,-1.178
-0.005,-0.089,-1.168
0.021,-0.093,-1.174
0.045,-0.104,-1.222
0.071,-0.109,-1.276
0.102,-0.106,-1.325
0.133,-0.09,-1.348
0.149,-0.099,-1.357
0.16,-0.104,-1.37
0.19,-0.095,-1.399
0.228,-0.09,-1.44
0.278,-0.071,-1.47
0.302,-0.048,-1.479
0.293,-0.041,-1.46
0.256,-0.029,-1.416
0.207,-0.015,-1.373
0.229,0.004,-1.275
0.208,-0.002,-1.181
0.211,-0.01,-1.119
0.228,-0.014,-1.06
0.232,-0.02,-0.983
0.246,-0.069,-0.868
0.23,-0.053,-0.792
0.155,-0.049,-0.717
0.091,-0.11,-0.619
0.105,-0.111,-0.546
0.166,-0.07,-0.525
0.192,-0.057,-0.546
0.2,-0.074,-0.567
0.227,-0.125,-0.563
0.234,-0.08,-0.547
0.205,-0.029,-0.551
0.15,-0.062,-0.602
0.106,-0.086,-0.637
0.147,-0.057,-0.604
0.257,-0.045,-0.549
0.282,-0.064,-0.602
0.267,-0.067,-0.638
0.242,-0.052,-0.701
0.224,-0.047,-0.785
0.191,-0.07,-0.855
0.198,-0.084,-0.909
0.225,-0.089,-0.976
0.215,-0.104,-0.978
0.166,-0.126,-0.89
0.16,-0.148,-0.798
0.18,-0.182,-0.732
0.173,-0.226,-0.697
0.152,-0.247,-0.696
0.135,-0.244,-0.72
0.096,-0.231,-0.772
0.046,-0.221,-0.825
0.01,-0.232,-0.889
-0.005,-0.248,-0.955
0.003,-0.259,-0.949
0.032,-0.256,-0.875
0.087,-0.245,-0.802
0.174,-0.232,-0.785
0.241,-0.235,-0.789
0.273,-0.265,-0.781
0.303,-0.275,-0.789
