,average_gFx,average_gFy,average_gFz,sum_gFx,sum_gFy,sum_gFz,action
69,-0.12635,0.18442000000000003,-0.9674300000000002,-12.635,18.442000000000004,-96.74300000000002,walk
70,-0.15613,0.17723999999999995,-1.0283799999999998,-15.613,17.723999999999997,-102.838,walk
71,-0.15192,0.24567,-0.9596300000000001,-15.192,24.567,-95.96300000000001,walk
72,-0.20715999999999998,0.20617000000000002,-0.9830500000000001,-20.715999999999998,20.617,-98.305,walk
73,-0.16727,0.18514000000000005,-0.99152,-16.727,18.514000000000006,-99.152,walk
74,-0.11440999999999997,0.1735000000000001,-0.9738599999999998,-11.440999999999997,17.35000000000001,-97.38599999999998,walk
75,-0.12624000000000002,0.12875999999999999,-1.03658,-12.624000000000002,12.876,-103.658,walk
76,-0.08936999999999999,0.13065000000000002,-0.9945100000000001,-8.937,13.065000000000001,-99.45100000000001,walk
77,-0.09447,0.04691,-1.0007000000000001,-9.447,4.691,-100.07000000000001,walk
78,-0.10227,0.08462,-0.9894999999999999,-10.227,8.462,-98.94999999999999,walk
79,-0.13994,0.11554,-0.98894,-13.994,11.554,-98.894,walk
80,-0.18761,0.09599,-1.0184199999999999,-18.761,9.599,-101.842,walk
81,-0.12280999999999999,0.19255000000000003,-0.9781400000000001,-12.280999999999999,19.255000000000003,-97.81400000000001,walk
82,-0.16981,0.18602,-1.02237,-16.980999999999998,18.602,-102.237,walk
83,-0.15908999999999998,0.19313000000000002,-0.98115,-15.908999999999999,19.313000000000002,-98.115,walk
84,-0.10410000000000003,0.15993999999999997,-0.9796599999999998,-10.410000000000002,15.993999999999998,-97.96599999999998,walk
85,-0.10429000000000001,0.14816000000000001,-1.0369000000000002,-10.429,14.816,-103.69000000000001,walk
86,-0.08371000000000002,0.23552,-0.96659,-8.371000000000002,23.552,-96.65899999999999,walk
87,-0.16071,0.17959,-0.99774,-16.070999999999998,17.959,-99.774,walk
88,-0.16839999999999997,0.16842,-0.9915,-16.839999999999996,16.842,-99.15,walk
89,-0.1067,0.18886999999999998,-0.9770899999999999,-10.67,18.886999999999997,-97.70899999999999,walk
90,-0.16523,0.12757,-1.03671,-16.523,12.756999999999998,-103.671,walk
91,-0.19863000000000003,0.17293999999999998,-0.9781500000000001,-19.863000000000003,17.293999999999997,-97.81500000000001,walk
92,-0.15365,0.21931,-0.9521499999999999,-15.365,21.931,-95.21499999999999,walk
93,-0.19148999999999994,0.17164000000000001,-1.02617,-19.148999999999994,17.164,-102.617,walk
94,-0.19684000000000001,0.22636,-0.98141,-19.684,22.636,-98.141,walk
95,-0.20035000000000003,0.19110000000000002,-0.9688599999999998,-20.035000000000004,19.110000000000003,-96.88599999999998,walk
96,-0.21812,0.15203999999999998,-1.0326300000000002,-21.812,15.203999999999997,-103.26300000000002,walk
97,-0.14794999999999997,0.24292000000000008,-0.9856900000000001,-14.794999999999998,24.29200000000001,-98.569,walk
98,-0.14607,0.13086,-0.9993199999999998,-14.607000000000001,13.086,-99.93199999999997,walk
99,-0.14151,0.14738,-0.9803799999999999,-14.151,14.738000000000001,-98.038,walk
100,-0.16548000000000002,0.20956999999999998,-0.98014,-16.548000000000002,20.956999999999997,-98.014,walk
101,-0.21722000000000002,0.18202,-1.0425000000000002,-21.722,18.201999999999998,-104.25000000000001,walk
102,-0.17187999999999995,0.23494999999999996,-0.96883,-17.187999999999995,23.494999999999997,-96.883,walk
103,-0.19888000000000003,0.18621000000000001,-0.9945499999999998,-19.888,18.621000000000002,-99.45499999999998,walk
104,-0.1814,0.22491,-0.9857700000000001,-18.14,22.491,-98.57700000000001,walk
105,-0.16573000000000002,0.2622900000000001,-0.96173,-16.573,26.229000000000006,-96.173,walk
106,-0.20977000000000004,0.24834000000000003,-1.02571,-20.977000000000004,24.834000000000003,-102.571,walk
107,-0.17647000000000002,0.31082,-0.9541799999999999,-17.647000000000002,31.082,-95.41799999999999,walk
108,-0.24001999999999996,0.27371,-0.9516500000000001,-24.001999999999995,27.371000000000002,-95.165,walk
109,-0.24192,0.29301999999999995,-0.93402,-24.192,29.301999999999996,-93.402,walk
110,-0.20269,0.32915999999999995,-0.92889,-20.269000000000002,32.916,-92.889,walk
111,-0.20495000000000002,0.32398000000000005,-1.00394,-20.495,32.398,-100.394,walk
112,-0.15930999999999998,0.34679999999999994,-0.9409799999999998,-15.931,34.67999999999999,-94.09799999999998,walk
113,-0.20649000000000003,0.30791,-0.9353999999999998,-20.649000000000004,30.791000000000004,-93.53999999999998,walk
114,-0.22947999999999993,0.32397000000000004,-0.95619,-22.947999999999993,32.397000000000006,-95.619,walk
115,-0.20405,0.3371900000000001,-0.9157400000000001,-20.405,33.71900000000001,-91.57400000000001,walk
116,-0.22486,0.29461999999999994,-0.9726499999999999,-22.486,29.461999999999996,-97.26499999999999,walk
117,-0.17739000000000002,0.30089000000000005,-0.9456299999999997,-17.739,30.089000000000002,-94.56299999999997,walk
118,-0.17527,0.24485000000000007,-0.9534100000000001,-17.527,24.485000000000007,-95.34100000000001,walk
119,-0.20967,0.23876000000000006,-0.98651,-20.967,23.876000000000005,-98.651,walk
120,-0.18093000000000004,0.29796999999999996,-0.9426899999999998,-18.093000000000004,29.796999999999997,-94.26899999999998,walk
121,-0.21597999999999998,0.26467,-0.9748,-21.598,26.467000000000002,-97.48,walk
122,-0.19290000000000002,0.28857,-0.9406599999999998,-19.290000000000003,28.857,-94.06599999999999,walk
123,-0.17858000000000002,0.29843,-0.9352099999999999,-17.858,29.843,-93.52099999999999,walk
